tf,date,open,high,low,close,volume
15m,2026-05-07 13:45:00+05:30,48.35,50.25,46.8,47.05,5590
15m,2026-05-07 14:00:00+05:30,47.05,49.95,46.5,47.6,4485
15m,2026-05-07 14:15:00+05:30,47.6,51.75,45.45,46.05,3575
15m,2026-05-07 14:30:00+05:30,46.05,51.5,44.55,51.5,5135
15m,2026-05-07 14:45:00+05:30,51.5,51.95,46.75,47.05,4160
15m,2026-05-07 15:00:00+05:30,47.05,47.7,43.65,44.85,16640
15m,2026-05-07 15:15:00+05:30,44.85,44.85,38.75,39.7,23075
15m,2026-05-08 09:15:00+05:30,58.25,68.2,58.0,59.85,58305
15m,2026-05-08 09:30:00+05:30,59.85,70.35,59.85,70.35,13455
15m,2026-05-08 09:45:00+05:30,70.55,77.4,66.0,66.0,14625
15m,2026-05-08 10:00:00+05:30,66.0,69.25,61.45,62.05,5655
15m,2026-05-08 10:15:00+05:30,62.05,68.0,58.25,59.05,7605
15m,2026-05-08 10:30:00+05:30,59.05,60.8,59.05,59.35,1885
15m,2026-05-08 10:45:00+05:30,59.35,63.55,59.25,63.5,6305
15m,2026-05-08 11:00:00+05:30,63.5,64.1,58.0,58.0,1885
15m,2026-05-08 11:15:00+05:30,58.0,64.7,56.7,62.75,3445
15m,2026-05-08 11:30:00+05:30,62.75,66.35,60.0,60.0,3640
15m,2026-05-08 11:45:00+05:30,60.0,63.5,60.0,62.1,650
15m,2026-05-08 12:00:00+05:30,62.1,64.95,60.15,63.6,2210
15m,2026-05-08 12:15:00+05:30,63.6,66.1,60.95,62.0,1430
15m,2026-05-08 12:30:00+05:30,62.0,69.5,62.0,69.5,8515
15m,2026-05-08 12:45:00+05:30,69.5,71.35,66.4,66.95,4160
15m,2026-05-08 13:00:00+05:30,66.95,68.65,65.0,66.75,4485
15m,2026-05-08 13:15:00+05:30,66.75,67.2,58.65,58.65,3120
15m,2026-05-08 13:30:00+05:30,58.65,66.45,57.95,64.35,12350
15m,2026-05-08 13:45:00+05:30,64.35,72.6,63.4,71.35,6305
15m,2026-05-08 14:00:00+05:30,71.65,76.0,64.05,69.5,13455
15m,2026-05-08 14:15:00+05:30,69.5,70.05,66.25,66.25,3510
15m,2026-05-08 14:30:00+05:30,66.25,66.25,51.85,53.95,13715
15m,2026-05-08 14:45:00+05:30,54.05,55.75,50.3,55.75,15275
15m,2026-05-08 15:00:00+05:30,55.95,60.05,55.95,57.15,15925
15m,2026-05-08 15:15:00+05:30,57.15,58.7,52.75,57.35,25090
15m,2026-05-11 09:15:00+05:30,95.3,124.25,95.3,108.9,74750
15m,2026-05-11 09:30:00+05:30,108.9,135.6,108.9,135.6,42640
15m,2026-05-11 09:45:00+05:30,135.6,136.75,127.0,134.25,30095
15m,2026-05-11 10:00:00+05:30,134.25,134.25,124.7,128.4,30095
15m,2026-05-11 10:15:00+05:30,128.4,141.8,128.4,132.0,25415
15m,2026-05-11 10:30:00+05:30,132.0,137.35,129.45,134.05,18850
15m,2026-05-11 10:45:00+05:30,134.05,136.8,122.05,125.5,18460
15m,2026-05-11 11:00:00+05:30,125.5,128.0,111.95,116.7,25285
15m,2026-05-11 11:15:00+05:30,116.7,116.7,104.7,108.4,28470
15m,2026-05-11 11:30:00+05:30,108.4,113.65,100.7,101.65,20085
15m,2026-05-11 11:45:00+05:30,101.65,110.35,100.9,106.75,15275
15m,2026-05-11 12:00:00+05:30,106.75,109.0,103.1,104.2,5785
15m,2026-05-11 12:15:00+05:30,104.2,107.95,101.7,106.75,9035
15m,2026-05-11 12:30:00+05:30,106.75,115.0,96.5,98.9,42315
15m,2026-05-11 12:45:00+05:30,98.9,105.0,98.0,103.7,7540
15m,2026-05-11 13:00:00+05:30,103.7,116.75,100.9,100.9,25935
15m,2026-05-11 13:15:00+05:30,100.9,103.2,99.85,102.0,14625
15m,2026-05-11 13:30:00+05:30,102.0,102.45,88.3,94.7,35425
15m,2026-05-11 13:45:00+05:30,94.7,95.1,86.2,95.0,31525
15m,2026-05-11 14:00:00+05:30,95.0,99.8,93.35,99.05,12935
15m,2026-05-11 14:15:00+05:30,99.05,107.05,98.4,104.55,28795
