tf,date,open,high,low,close,volume
5m,2026-05-18 10:05:00+05:30,111.75,113.85,100.55,106.1,6080555
5m,2026-05-18 10:10:00+05:30,106.1,115.25,105.2,111.55,4881825
5m,2026-05-18 10:15:00+05:30,111.55,123.2,106.55,118.6,9422335
5m,2026-05-18 10:20:00+05:30,118.75,122.15,112.85,118.1,6180200
5m,2026-05-18 10:25:00+05:30,118.1,119.2,112.0,115.4,3910205
5m,2026-05-18 10:30:00+05:30,115.4,134.65,101.05,134.65,14224795
5m,2026-05-18 10:35:00+05:30,134.65,145.6,128.25,136.75,15854085
5m,2026-05-18 10:40:00+05:30,136.75,142.45,118.95,129.5,8524360
5m,2026-05-18 10:45:00+05:30,129.5,130.2,108.15,121.5,9649445
5m,2026-05-18 10:50:00+05:30,121.35,144.25,121.2,142.3,9370790
5m,2026-05-18 10:55:00+05:30,142.25,155.7,141.2,152.25,10150920
5m,2026-05-18 11:00:00+05:30,152.25,157.65,140.95,144.55,5960565
5m,2026-05-18 11:05:00+05:30,144.55,164.6,144.1,157.9,6209515
5m,2026-05-18 11:10:00+05:30,157.9,159.35,146.75,155.1,3156530
5m,2026-05-18 11:15:00+05:30,155.1,170.6,149.7,167.95,6667050
5m,2026-05-18 11:20:00+05:30,168.15,197.55,153.55,192.0,9666735
5m,2026-05-18 11:25:00+05:30,192.0,194.35,168.45,171.8,3761875
5m,2026-05-18 11:30:00+05:30,171.8,203.95,169.7,196.7,4444635
5m,2026-05-18 11:35:00+05:30,196.7,231.55,191.85,225.9,4542460
5m,2026-05-18 11:40:00+05:30,225.9,226.5,196.25,208.15,2912520
5m,2026-05-18 11:45:00+05:30,208.15,211.0,176.3,183.65,2172300
5m,2026-05-18 11:50:00+05:30,183.55,184.3,171.7,171.7,1441375
5m,2026-05-18 11:55:00+05:30,171.7,182.0,154.3,154.5,2322060
5m,2026-05-18 12:00:00+05:30,154.5,162.45,150.55,154.75,2392130
5m,2026-05-18 12:05:00+05:30,154.75,175.95,154.75,168.4,2670590
5m,2026-05-18 12:10:00+05:30,168.4,195.75,167.0,194.1,3190915
5m,2026-05-18 12:15:00+05:30,194.1,205.35,185.0,192.8,2724735
5m,2026-05-18 12:20:00+05:30,192.4,202.5,186.2,201.15,1352715
5m,2026-05-18 12:25:00+05:30,201.15,220.4,200.4,216.65,2754570
5m,2026-05-18 12:30:00+05:30,216.65,249.75,216.65,241.05,3090945
5m,2026-05-18 12:35:00+05:30,241.15,254.65,238.6,245.85,1923545
5m,2026-05-18 12:40:00+05:30,245.85,252.5,226.0,233.45,1340365
5m,2026-05-18 12:45:00+05:30,233.45,236.95,222.6,225.25,832065
5m,2026-05-18 12:50:00+05:30,225.0,242.1,225.0,240.2,917020
5m,2026-05-18 12:55:00+05:30,240.2,282.5,238.3,280.4,2398500
5m,2026-05-18 13:00:00+05:30,280.4,301.35,272.65,284.1,1612975
5m,2026-05-18 13:05:00+05:30,284.1,284.45,249.7,253.0,1109355
5m,2026-05-18 13:10:00+05:30,253.0,260.05,239.45,259.7,957125
5m,2026-05-18 13:15:00+05:30,257.1,274.7,255.9,260.65,938080
5m,2026-05-18 13:20:00+05:30,260.25,269.95,239.1,269.05,932230
5m,2026-05-18 13:25:00+05:30,269.05,275.7,248.85,261.9,1148680
