tf,date,open,high,low,close,volume,vwap
5m,2026-06-05 13:00:00+05:30,433.4,442.0,426.0,441.6,45565,484.15543788651223
5m,2026-06-05 13:05:00+05:30,441.6,442.4,412.0,418.75,100230,482.5832122204596
5m,2026-06-05 13:10:00+05:30,418.75,427.9,407.0,408.7,132990,480.28829962583865
5m,2026-06-05 13:15:00+05:30,408.75,427.25,400.45,422.8,112255,478.53198949719
5m,2026-06-05 13:20:00+05:30,422.8,425.75,388.5,401.2,140595,476.07338197101365
5m,2026-06-05 13:25:00+05:30,401.2,414.0,383.0,383.0,174265,472.7743624826492
5m,2026-06-05 13:30:00+05:30,383.0,398.65,365.0,381.7,171795,469.3330492871419
5m,2026-06-05 13:35:00+05:30,381.7,396.0,378.9,395.1,69160,468.1432827791639
5m,2026-06-05 13:40:00+05:30,395.1,395.6,358.0,376.1,165490,464.970816494995
5m,2026-06-05 13:45:00+05:30,374.1,393.45,372.3,391.55,117390,463.0711538887192
5m,2026-06-05 13:50:00+05:30,391.55,394.4,378.95,382.6,53105,462.2365669942369
5m,2026-06-05 13:55:00+05:30,382.6,403.0,380.75,403.0,87880,461.0733102700471
5m,2026-06-05 14:00:00+05:30,403.0,411.45,391.6,402.05,101075,459.90497323564034
5m,2026-06-05 14:05:00+05:30,402.05,411.0,398.35,401.75,76570,459.07942918417484
5m,2026-06-05 14:10:00+05:30,401.75,406.0,381.7,393.3,111995,457.7036883778463
5m,2026-06-05 14:15:00+05:30,391.95,393.9,376.0,388.25,88465,456.532761201497
5m,2026-06-05 14:20:00+05:30,388.25,403.0,374.1,397.7,114725,455.18524417009615
5m,2026-06-05 14:25:00+05:30,397.7,422.8,396.0,417.85,243360,453.37347362059006
5m,2026-06-05 14:30:00+05:30,417.85,436.05,408.15,412.4,169650,452.38814730938117
5m,2026-06-05 14:35:00+05:30,412.4,418.3,387.05,400.25,395720,449.23327537986034
5m,2026-06-05 14:40:00+05:30,400.25,489.15,400.0,481.8,429975,449.72571713077264
5m,2026-06-05 14:45:00+05:30,480.75,505.55,439.8,453.0,210600,450.22043683878775
5m,2026-06-05 14:50:00+05:30,453.0,468.25,450.0,460.0,79495,450.3240288907311
5m,2026-06-05 14:55:00+05:30,460.0,464.8,422.55,439.4,107380,450.2030158830966
